Dates,Clicks,Impressions,CTR,Position
8/5/16,1,100,1%,11
8/6/16,2,101,1.98%,13
8/7/16,1,115,0.87%,12
8/8/16,2,113,1.77%,12
8/9/16,3,141,2.13%,19
8/10/16,3,124,2.42%,14
8/11/16,3,129,2.33%,13
8/12/16,1,115,0.87%,14
8/13/16,3,113,2.65%,16
8/14/16,2,92,2.17%,24
8/15/16,3,107,2.8%,14
8/16/16,4,113,3.54%,17
8/17/16,6,101,5.94%,18
8/18/16,4,93,4.3%,13
8/19/16,3,140,2.14%,11
8/20/16,6,101,5.94%,14
8/21/16,10,113,8.85%,12
8/22/16,7,144,4.86%,13
8/23/16,6,138,4.35%,12
8/24/16,5,148,3.38%,18
8/25/16,4,108,3.7%,15
8/26/16,6,112,5.36%,14
8/27/16,4,82,4.88%,21
8/28/16,5,113,4.42%,14
8/29/16,4,109,3.67%,9.3
8/30/16,6,143,4.2%,8.3
8/31/16,3,133,2.26%,13
9/1/16,5,141,3.55%,16
9/2/16,3,113,2.65%,15
9/3/16,2,95,2.11%,20
9/4/16,11,114,9.65%,16
9/5/16,3,113,2.65%,14
9/6/16,9,124,7.26%,14
9/7/16,6,119,5.04%,11
9/8/16,5,129,3.88%,16
9/9/16,1,102,0.98%,12
9/10/16,2,110,1.82%,13
9/11/16,8,130,6.15%,14
9/12/16,1,125,0.8%,17
9/13/16,9,136,6.62%,13
9/14/16,3,135,2.22%,15
9/15/16,4,116,3.45%,17
9/16/16,6,128,4.69%,10
9/17/16,3,112,2.68%,13
9/18/16,3,103,2.91%,9.8
9/19/16,8,129,6.2%,9.2
9/20/16,4,118,3.39%,13
9/21/16,6,106,5.66%,11
9/22/16,4,126,3.17%,9.1
9/23/16,4,93,4.3%,9.7
9/24/16,6,114,5.26%,8.1
9/25/16,2,122,1.64%,11
9/26/16,8,134,5.97%,10
9/27/16,6,126,4.76%,12
9/28/16,1,130,0.77%,8.4
9/29/16,3,129,2.33%,8.3
9/30/16,5,105,4.76%,9.3
10/1/16,6,118,5.08%,15
10/2/16,5,145,3.45%,8.1
10/3/16,6,164,3.66%,14
10/4/16,4,157,2.55%,11
10/5/16,7,167,4.19%,13
10/6/16,4,142,2.82%,15
10/7/16,4,125,3.2%,14
10/8/16,5,105,4.76%,12
10/9/16,1,117,0.85%,14
10/10/16,6,130,4.62%,11
10/11/16,3,139,2.16%,11
10/12/16,5,124,4.03%,10
10/13/16,6,131,4.58%,9.5
10/14/16,4,94,4.26%,11
10/15/16,3,121,2.48%,11
10/16/16,2,132,1.52%,11
10/17/16,7,137,5.11%,17
10/18/16,4,143,2.8%,13
10/19/16,7,144,4.86%,11
10/20/16,3,120,2.5%,14
10/21/16,3,152,1.97%,17
10/22/16,5,120,4.17%,12
10/23/16,12,115,10.43%,10
10/24/16,10,152,6.58%,14
10/25/16,8,135,5.93%,12
10/26/16,4,125,3.2%,13
10/27/16,7,115,6.09%,13
10/28/16,3,92,3.26%,11
10/29/16,3,89,3.37%,22
10/30/16,3,140,2.14%,18
10/31/16,4,135,2.96%,13
11/1/16,5,130,3.85%,17
11/2/16,6,151,3.97%,13
